DateUTC,TimeUTC,SUM_of_MNOZSTVO
06/07/2013,270,98070.871125
06/07/2013,300,98736.616396
06/07/2013,330,101204.09777
06/07/2013,360,102630.79453
06/07/2013,390,106137.77631
06/07/2013,420,107403.54582
06/07/2013,450,111227.44987
06/07/2013,480,112947.029
06/07/2013,510,115849.89993
06/07/2013,540,116115.45589
06/07/2013,570,117259.01927
06/07/2013,600,118558.1439
06/07/2013,630,119596.48415
06/07/2013,660,119423.29708
06/07/2013,690,119527.55845
06/07/2013,720,118372.28995
06/07/2013,750,119549.76643
06/07/2013,780,119901.11655
06/07/2013,810,119086.62926
06/07/2013,840,119731.7253
06/07/2013,870,118437.59066
06/07/2013,900,118249.47149
06/07/2013,930,118156.99902
06/07/2013,960,118099.5548
06/07/2013,990,116912.38105
06/07/2013,1020,116884.94795
06/07/2013,1050,115365.72848
06/07/2013,1080,112952.97057
06/07/2013,1110,111456.38805
06/07/2013,1140,110203.01354
06/07/2013,1170,107924.42576
06/07/2013,1200,103980.85982
06/07/2013,1230,102807.52339
06/07/2013,1260,101114.32795
06/07/2013,1290,99017.305656
06/07/2013,1320,95209.912576
07/07/2013,-90,91400.686368
07/07/2013,-60,90149.758092
07/07/2013,-30,89778.49162
07/07/2013,0,89626.469379
07/07/2013,30,88937.288859
07/07/2013,60,89252.514694
07/07/2013,90,88292.776472
07/07/2013,120,88109.188928
07/07/2013,150,90804.3503
07/07/2013,180,90800.068892
07/07/2013,210,91149.846605
07/07/2013,240,89942.991932
07/07/2013,270,92562.628372
07/07/2013,300,95450.927249
07/07/2013,330,98054.87336
07/07/2013,360,99810.593928
07/07/2013,390,102394.95959
07/07/2013,420,105058.52031
07/07/2013,450,107790.71771
07/07/2013,480,109311.98016
07/07/2013,510,112264.2421
07/07/2013,540,113620.35293
07/07/2013,570,114134.20335
07/07/2013,600,114998.48599
07/07/2013,630,116073.44379
07/07/2013,660,116245.00093
07/07/2013,690,116363.01178
07/07/2013,720,114749.82354
07/07/2013,750,116224.17121
07/07/2013,780,115840.36663
