DateUTC,TimeUTC,SUM_of_MNOZSTVO
2013-07-08,150,79758.295257
2013-07-08,180,82283.290408
2013-07-08,210,84534.297425
2013-07-08,240,89190.036119
2013-07-08,270,92288.911444
2013-07-08,300,96620.058751
2013-07-08,330,104689.48263
2013-07-08,360,119147.42317
2013-07-08,390,126630.53684
2013-07-08,420,135169.58406
2013-07-08,450,141524.29576
2013-07-08,480,147660.32457
2013-07-08,510,150789.54443
2013-07-08,540,154409.0408
2013-07-08,570,158491.25498
2013-07-08,600,161309.14278
2013-07-08,630,161943.63523
2013-07-08,660,161434.68608
2013-07-08,690,162194.28646
2013-07-08,720,164479.86467
2013-07-08,750,165268.50824
2013-07-08,780,164182.40926
2013-07-08,810,164080.30054
2013-07-08,840,164504.87947
2013-07-08,870,164416.64469
2013-07-08,900,160858.92536
2013-07-08,930,158596.2054
2013-07-08,960,154524.88301
2013-07-08,990,150833.33106
2013-07-08,1020,149199.50331
2013-07-08,1050,146153.65026
2013-07-08,1080,143247.30462
2013-07-08,1110,139984.19296
2013-07-08,1140,136822.3483
2013-07-08,1170,133349.56008
2013-07-08,1200,130851.79778
2013-07-08,1230,128151.77658
2013-07-08,1260,124230.18755
2013-07-08,1290,118704.85828
2013-07-08,1320,116420.53827
2013-07-08,1350,114899.81877
2013-07-08,1380,112798.26876
2013-07-08,1410,110083.92061
2013-07-09,0,103198.21242
2013-07-09,30,101159.16731
2013-07-09,60,101151.94201
2013-07-09,90,100939.83568
2013-07-09,120,99455.267872
2013-07-09,150,99986.168582
2013-07-09,180,99808.43639
2013-07-09,210,98844.858031
2013-07-09,240,102580.02215
2013-07-09,270,104343.96743
2013-07-09,300,108308.17916
2013-07-09,330,112404.31888
2013-07-09,360,122359.12266
2013-07-09,390,128198.60568
2013-07-09,420,136301.22294
2013-07-09,450,143691.19455
2013-07-09,480,151174.18753
2013-07-09,510,154408.13462
2013-07-09,540,160043.87942
2013-07-09,570,162754.51562
2013-07-09,600,164087.28562
2013-07-09,630,165257.52303
2013-07-09,660,165405.64616
2013-07-09,690,165684.58287
2013-07-09,720,167362.11543
2013-07-09,750,169029.29778
2013-07-09,780,168004.13097
2013-07-09,810,165109.89615
2013-07-09,840,164917.90527
2013-07-09,870,163503.64709
2013-07-09,900,159673.89126
2013-07-09,930,157966.01885
2013-07-09,960,153017.04877
2013-07-09,990,151389.55992
2013-07-09,1020,149324.28001
2013-07-09,1050,145354.6861
2013-07-09,1080,142992.88893
2013-07-09,1110,140518.11727
2013-07-09,1140,136642.04615
2013-07-09,1170,134787.84314
2013-07-09,1200,131176.45979
2013-07-09,1230,129071.88645
2013-07-09,1260,125259.47854
2013-07-09,1290,120879.00185
2013-07-09,1320,116459.27963
2013-07-09,1350,114751.77724
2013-07-09,1380,111688.94642
2013-07-09,1410,108244.57166
2013-07-10,0,107017.17267
2013-07-10,30,105517.05272
2013-07-10,60,104761.48273
2013-07-10,90,104946.56826
2013-07-10,120,102876.63581
2013-07-10,150,104257.77188
2013-07-10,180,104097.3245
2013-07-10,210,102303.03087
2013-07-10,240,107202.34304
2013-07-10,270,108016.01855
2013-07-10,300,111597.68495
2013-07-10,330,114695.90882
2013-07-10,360,124083.43199
2013-07-10,390,130890.50079
2013-07-10,420,139746.90712
2013-07-10,450,146340.40823
2013-07-10,480,151922.2335
2013-07-10,510,155412.96417
2013-07-10,540,160220.0587
2013-07-10,570,163244.52902
2013-07-10,600,165699.89284
2013-07-10,630,166169.18876
2013-07-10,660,165797.50874
2013-07-10,690,168294.70624
2013-07-10,720,170764.26383
2013-07-10,750,170286.92412
2013-07-10,780,170818.60548
2013-07-10,810,169113.13711
2013-07-10,840,167904.44122
2013-07-10,870,165366.41349
2013-07-10,900,163190.99469
2013-07-10,930,161899.32671
2013-07-10,960,157376.68676
2013-07-10,990,153483.36017
2013-07-10,1020,152550.26783
2013-07-10,1050,148741.67161
2013-07-10,1080,144511.15285
2013-07-10,1110,142977.39179
2013-07-10,1140,138997.13834
2013-07-10,1170,136355.3704
2013-07-10,1200,132345.44941
2013-07-10,1230,130224.16032
2013-07-10,1260,127286.53015
2013-07-10,1290,123286.98125
2013-07-10,1320,120464.23365
2013-07-10,1350,118725.50241
2013-07-10,1380,115322.04132
2013-07-10,1410,112130.14579
2013-07-11,0,107002.64261
2013-07-11,30,104763.50389
2013-07-11,60,105360.91459
2013-07-11,90,104128.43976
2013-07-11,120,103333.44687
2013-07-11,150,103112.94979
2013-07-11,180,102744.14735
2013-07-11,210,101720.61035
2013-07-11,240,105400.71576
2013-07-11,270,107308.94665
2013-07-11,300,111410.96384
2013-07-11,330,114717.58104
2013-07-11,360,123595.25556
2013-07-11,390,129805.71946
2013-07-11,420,136524.53073
2013-07-11,450,142058.39952
2013-07-11,480,147870.01535
2013-07-11,510,149406.87282
2013-07-11,540,153673.13114
2013-07-11,570,155154.49899
2013-07-11,600,156890.59575
2013-07-11,630,158027.06335
2013-07-11,660,157452.80147
2013-07-11,690,157030.91155
2013-07-11,720,159813.36234
2013-07-11,750,158305.74046
2013-07-11,780,158227.49374
2013-07-11,810,155955.54274
2013-07-11,840,156144.00778
2013-07-11,870,154588.87954
2013-07-11,900,152202.59472
2013-07-11,930,148587.67655
2013-07-11,960,146485.33625
2013-07-11,990,142542.35722
2013-07-11,1020,140384.57266
2013-07-11,1050,137238.64105
2013-07-11,1080,133664.72576
2013-07-11,1110,132836.36002
2013-07-11,1140,129159.37225
2013-07-11,1170,127316.49381
2013-07-11,1200,123745.8028
2013-07-11,1230,122209.30081
2013-07-11,1260,119105.81968
2013-07-11,1290,114502.6929
2013-07-11,1320,113217.63193
2013-07-11,1350,110093.05356
2013-07-11,1380,107874.23686
2013-07-11,1410,104209.62757
2013-07-12,0,102817.56145
2013-07-12,30,100993.73141
2013-07-12,60,100978.98355
2013-07-12,90,100819.806
2013-07-12,120,100408.82004
2013-07-12,150,100743.36741
2013-07-12,180,100999.35891
2013-07-12,210,100502.67315
2013-07-12,240,104085.13791
2013-07-12,270,106104.71788
2013-07-12,300,109194.66939
2013-07-12,330,111885.83017
2013-07-12,360,122023.88024
2013-07-12,390,126706.68185
2013-07-12,420,135136.56709
2013-07-12,450,138774.83948
2013-07-12,480,143536.85053
2013-07-12,510,146766.6003
