merged.DateUTC,merged.Temperature_F,decom.time.series....trend..
2013-07-06,73,106393.280917124
2013-07-06,71.6,106316.589461644
2013-07-06,72,106239.898006163
2013-07-06,71.6,106163.206550683
2013-07-06,71,106086.515095202
2013-07-06,69.8,106009.823639722
2013-07-06,69,106058.129471001
2013-07-06,69.8,106106.435302281
2013-07-07,69,106154.741133561
2013-07-07,68,106203.04696484
2013-07-07,67,106251.35279612
2013-07-07,66.2,106299.6586274
2013-07-07,66,106347.964458679
2013-07-07,66.2,106396.270289959
2013-07-07,66,106444.576121239
2013-07-07,66.2,106492.881952518
2013-07-07,67,106541.187783798
2013-07-07,68,106589.493615078
2013-07-07,70,106637.799446357
2013-07-07,71.6,106686.105277637
2013-07-07,74,106734.411108917
2013-07-07,73.4,106939.369756749
2013-07-07,75,107144.328404582
2013-07-07,77,107349.287052415
2013-07-07,79,107554.245700247
2013-07-07,80.6,107759.20434808
2013-07-07,81,107964.162995913
2013-07-07,80.6,108169.121643746
2013-07-07,80,108374.080291578
2013-07-07,82.4,108579.038939411
2013-07-07,83,108783.997587244
2013-07-07,82.4,108988.956235077
2013-07-07,83,109193.914882909
2013-07-07,80.6,109398.873530742
2013-07-07,80,109603.832178575
2013-07-07,82.4,109808.790826408
2013-07-07,79,110109.482840409
2013-07-07,73.4,110410.174854411
2013-07-07,76,110710.866868413
2013-07-07,77,111011.558882415
2013-07-07,80,111312.250896417
2013-07-07,80.6,111612.942910419
2013-07-07,79,111913.634924421
2013-07-07,78.8,112214.326938423
2013-07-07,77,112515.018952425
2013-07-07,75.2,112815.710966426
2013-07-07,73,113116.402980428
2013-07-07,71.6,113417.09499443
2013-07-07,71,113717.787008432
2013-07-07,69.8,114018.479022434
2013-07-07,70,114319.171036436
2013-07-07,69.8,114657.198753131
2013-07-07,70,114995.226469827
2013-07-07,69.8,115333.254186523
2013-07-07,70,115671.281903218
2013-07-07,68,116009.309619914
2013-07-08,68,116347.33733661
2013-07-08,68,116685.365053305
2013-07-08,66,117023.392770001
2013-07-08,66.2,117361.420486697
2013-07-08,66,117699.448203392
2013-07-08,66.2,118037.475920088
2013-07-08,64,118375.503636784
2013-07-08,62.6,118713.531353479
2013-07-08,64,119051.559070175
2013-07-08,66.2,119389.586786871
2013-07-08,69,119786.474575217
2013-07-08,71.6,120183.362363563
2013-07-08,73,120580.250151909
2013-07-08,73.4,120977.137940255
2013-07-08,74,121374.025728601
2013-07-08,77,121770.913516947
2013-07-08,77,122167.801305293
2013-07-08,78.8,122564.689093639
2013-07-08,78,122961.576881986
2013-07-08,78.8,123358.464670332
2013-07-08,80,123755.352458678
2013-07-08,77,124152.240247024
2013-07-08,79,124549.12803537
2013-07-08,80.6,124946.015823716
2013-07-08,81,125342.903612062
2013-07-08,82.4,125739.903912092
2013-07-08,80,126136.904212121
2013-07-08,80.6,126533.90451215
2013-07-08,82,126930.90481218
2013-07-08,80.6,127327.905112209
2013-07-08,82,127724.905412238
2013-07-08,82.4,128121.905712268
2013-07-08,81,128518.906012297
2013-07-08,80.6,128915.906312326
2013-07-08,80,129312.906612356
2013-07-08,78.8,129709.906912385
2013-07-08,78,130106.907212414
2013-07-08,75.2,130503.907512444
2013-07-08,73,130900.907812473
2013-07-08,71.6,131297.908112503
2013-07-08,71,131551.094320986
2013-07-08,69.8,131804.28052947
2013-07-08,70,132057.466737954
2013-07-08,69.8,132310.652946438
2013-07-08,69,132563.839154922
2013-07-08,68,132817.025363406
2013-07-08,67,133070.21157189
2013-07-08,68,133323.397780374
2013-07-09,67,133576.583988858
2013-07-09,68,133829.770197342
2013-07-09,65,134082.956405826
2013-07-09,64.4,134336.14261431
2013-07-09,63,134589.328822794
2013-07-09,60.8,134842.515031278
2013-07-09,63,135095.701239761
2013-07-09,62.6,135184.374451155
2013-07-09,65,135273.047662549
2013-07-09,66.2,135361.720873942
2013-07-09,68,135450.394085336
2013-07-09,69.8,135539.067296729
2013-07-09,71,135627.740508123
2013-07-09,71.6,135716.413719517
2013-07-09,73,135805.08693091
2013-07-09,73.4,135893.760142304
2013-07-09,76,135982.433353697
2013-07-09,77,136071.106565091
2013-07-09,78,136159.779776484
2013-07-09,78.8,136248.452987878
2013-07-09,80,136337.126199272
2013-07-09,80.6,136425.799410665
2013-07-09,81,136471.317757788
2013-07-09,82.4,136516.836104911
2013-07-09,83,136562.354452034
2013-07-09,82.4,136607.872799157
2013-07-09,83,136653.39114628
2013-07-09,84.2,136698.909493404
2013-07-09,83,136744.427840527
2013-07-09,84.2,136789.94618765
2013-07-09,84,136835.464534773
2013-07-09,82.4,136880.982881896
2013-07-09,83,136926.501229019
2013-07-09,82.4,136972.019576142
2013-07-09,82,137017.537923265
2013-07-09,82.4,137063.056270388
2013-07-09,79,137108.574617511
2013-07-09,78.8,137166.518142657
2013-07-09,75,137224.461667802
2013-07-09,75.2,137282.405192948
2013-07-09,75,137340.348718094
2013-07-09,73.4,137398.292243239
2013-07-09,73,137456.235768385
2013-07-09,71.6,137514.17929353
2013-07-09,68,137572.122818676
2013-07-09,68,137630.066343822
2013-07-09,68,137688.009868967
2013-07-09,68,137745.953394113
2013-07-10,66,137803.896919259
2013-07-10,66.2,137861.840444404
2013-07-10,64,137919.78396955
2013-07-10,64.4,137977.727494695
2013-07-10,63,137959.360225846
2013-07-10,62.6,137940.992956997
2013-07-10,63,137922.625688148
2013-07-10,62.6,137904.258419299
2013-07-10,64,137885.89115045
2013-07-10,66.2,137867.5238816
2013-07-10,67,137849.156612751
2013-07-10,69.8,137830.789343902
2013-07-10,72,137812.422075053
2013-07-10,73.4,137794.054806204
2013-07-10,76,137775.687537355
2013-07-10,77,137757.320268506
2013-07-10,77,137738.952999656
2013-07-10,78.8,137720.585730807
2013-07-10,80,137702.218461958
2013-07-10,80.6,137629.399762198
2013-07-10,82,137556.581062437
2013-07-10,80.6,137483.762362676
2013-07-10,82,137410.943662916
2013-07-10,84.2,137338.124963155
2013-07-10,83,137265.306263395
2013-07-10,82.4,137192.487563634
2013-07-10,84,137119.668863874
2013-07-10,84.2,137046.850164113
2013-07-10,85,136974.031464353
2013-07-10,86,136901.212764592
2013-07-10,85,136828.394064832
2013-07-10,84.2,136755.575365071
2013-07-10,84,136682.756665311
