DATUM,CAS,SUM_of_MNOZSTVO
05/07/2013,930,120493.08642
05/07/2013,945,120794.49278
05/07/2013,960,120366.88738
05/07/2013,975,119107.08803
05/07/2013,990,118417.61209
05/07/2013,1005,118143.34501
05/07/2013,1020,116833.07402
05/07/2013,1035,116508.22864
05/07/2013,1050,116382.24801
05/07/2013,1065,114827.20371
05/07/2013,1080,115321.12754
05/07/2013,1095,114818.56546
05/07/2013,1110,114272.61036
05/07/2013,1125,113112.29367
05/07/2013,1140,112924.06665
05/07/2013,1155,111724.88099
05/07/2013,1170,111008.79261
05/07/2013,1185,109052.75216
05/07/2013,1200,106462.25356
05/07/2013,1215,106048.68199
05/07/2013,1230,104249.55007
05/07/2013,1245,103214.27311
05/07/2013,1260,102201.97919
05/07/2013,1275,101280.10888
05/07/2013,1290,99981.58557
05/07/2013,1305,98678.293821
05/07/2013,1320,96988.044942
06/07/2013,-105,94474.222368
06/07/2013,-90,94044.200955
06/07/2013,-75,92873.801781
06/07/2013,-60,91668.299991
06/07/2013,-45,92524.248472
06/07/2013,-30,92573.975287
06/07/2013,-15,93210.215537
06/07/2013,0,92566.060511
06/07/2013,15,92209.897411
06/07/2013,30,91595.707816
06/07/2013,45,91833.975579
06/07/2013,60,91498.386179
06/07/2013,75,91327.119247
06/07/2013,90,90730.325943
06/07/2013,105,89527.670659
06/07/2013,120,90685.008139
06/07/2013,135,92041.648466
06/07/2013,150,92757.433358
06/07/2013,165,93616.464863
06/07/2013,180,93444.275388
06/07/2013,195,93889.456835
06/07/2013,210,94706.058406
06/07/2013,225,94515.562281
06/07/2013,240,93837.122847
06/07/2013,255,96775.584323
06/07/2013,270,98070.871125
06/07/2013,285,97850.639127
06/07/2013,300,98736.616396
06/07/2013,315,100677.39892
06/07/2013,330,101204.09777
06/07/2013,345,101759.00727
06/07/2013,360,102630.79453
06/07/2013,375,105124.57147
06/07/2013,390,106137.77631
06/07/2013,405,106514.63756
06/07/2013,420,107403.54582
06/07/2013,435,109330.81466
06/07/2013,450,111227.44987
06/07/2013,465,111503.24208
06/07/2013,480,112947.029
06/07/2013,495,114384.91636
06/07/2013,510,115849.89993
06/07/2013,525,116148.57764
06/07/2013,540,116115.45589
06/07/2013,555,115601.48952
06/07/2013,570,117259.01927
06/07/2013,585,117371.06101
06/07/2013,600,118558.1439
06/07/2013,615,119503.91872
06/07/2013,630,119596.48415
06/07/2013,645,119586.0684
06/07/2013,660,119423.29708
06/07/2013,675,120334.90532
06/07/2013,690,119527.55845
06/07/2013,705,119397.59608
06/07/2013,720,118372.28995
06/07/2013,735,118561.91305
06/07/2013,750,119549.76643
06/07/2013,765,120137.42909
06/07/2013,780,119901.11655
06/07/2013,795,119688.59315
06/07/2013,810,119086.62926
06/07/2013,825,120030.37609
06/07/2013,840,119731.7253
06/07/2013,855,119192.2644
06/07/2013,870,118437.59066
06/07/2013,885,118078.77876
06/07/2013,900,118249.47149
06/07/2013,915,118228.25762
06/07/2013,930,118156.99902
06/07/2013,945,118412.65951
06/07/2013,960,118099.5548
06/07/2013,975,116935.26801
06/07/2013,990,116912.38105
06/07/2013,1005,116901.60542
06/07/2013,1020,116884.94795
06/07/2013,1035,116126.59165
06/07/2013,1050,115365.72848
06/07/2013,1065,114366.91527
06/07/2013,1080,112952.97057
06/07/2013,1095,112039.60816
06/07/2013,1110,111456.38805
06/07/2013,1125,110997.76453
06/07/2013,1140,110203.01354
06/07/2013,1155,108675.08569
06/07/2013,1170,107924.42576
06/07/2013,1185,106242.98618
06/07/2013,1200,103980.85982
06/07/2013,1215,102490.07488
06/07/2013,1230,102807.52339
06/07/2013,1245,101170.03401
06/07/2013,1260,101114.32795
06/07/2013,1275,99962.614677
06/07/2013,1290,99017.305656
06/07/2013,1305,96862.675989
06/07/2013,1320,95209.912576
07/07/2013,-105,91533.4825
07/07/2013,-90,91400.686368
07/07/2013,-75,90634.867555
07/07/2013,-60,90149.758092
07/07/2013,-45,90423.33598
07/07/2013,-30,89778.49162
07/07/2013,-15,89927.660154
07/07/2013,0,89626.469379
07/07/2013,15,89677.428636
07/07/2013,30,88937.288859
07/07/2013,45,88964.371912
07/07/2013,60,89252.514694
07/07/2013,75,88834.512241
07/07/2013,90,88292.776472
07/07/2013,105,87358.084769
07/07/2013,120,88109.188928
07/07/2013,135,89704.512717
07/07/2013,150,90804.3503
07/07/2013,165,91357.643398
07/07/2013,180,90800.068892
07/07/2013,195,91451.897085
07/07/2013,210,91149.846605
07/07/2013,225,91136.580094
07/07/2013,240,89942.991932
07/07/2013,255,91403.555659
07/07/2013,270,92562.628372
07/07/2013,285,93524.272261
07/07/2013,300,95450.927249
07/07/2013,315,97131.798819
07/07/2013,330,98054.87336
07/07/2013,345,98845.67741
07/07/2013,360,99810.593928
07/07/2013,375,100825.58889
07/07/2013,390,102394.95959
07/07/2013,405,102862.65258
07/07/2013,420,105058.52031
07/07/2013,435,106713.53435
07/07/2013,450,107790.71771
07/07/2013,465,108634.6515
07/07/2013,480,109311.98016
07/07/2013,495,110992.11271
07/07/2013,510,112264.2421
07/07/2013,525,111925.12057
07/07/2013,540,113620.35293
07/07/2013,555,114629.4721
07/07/2013,570,114134.20335
07/07/2013,585,114340.28835
07/07/2013,600,114998.48599
07/07/2013,615,115356.34232
07/07/2013,630,116073.44379
07/07/2013,645,116471.60202
07/07/2013,660,116245.00093
07/07/2013,675,116334.64515
07/07/2013,690,116363.01178
07/07/2013,705,116190.53655
07/07/2013,720,114749.82354
07/07/2013,735,115101.70815
07/07/2013,750,116224.17121
07/07/2013,765,115732.67146
07/07/2013,780,115840.36663
07/07/2013,795,115972.65109
07/07/2013,810,115848.36357
07/07/2013,825,116006.62887
07/07/2013,840,115701.21532
07/07/2013,855,115433.08258
07/07/2013,870,114434.67241
07/07/2013,885,113271.41451
07/07/2013,900,114561.89139
07/07/2013,915,114691.54819
07/07/2013,930,114495.99774
07/07/2013,945,114742.34506
07/07/2013,960,114812.9853
07/07/2013,975,114648.32437
07/07/2013,990,114493.68259
07/07/2013,1005,113784.96225
07/07/2013,1020,113739.27573
07/07/2013,1035,113073.07257
07/07/2013,1050,112130.04889
07/07/2013,1065,111954.94949
07/07/2013,1080,111211.48405
07/07/2013,1095,110382.32422
07/07/2013,1110,109718.01249
07/07/2013,1125,110212.68246
07/07/2013,1140,109154.80141
07/07/2013,1155,107407.76518
07/07/2013,1170,105989.97713
07/07/2013,1185,104449.27179
07/07/2013,1200,101169.03789
07/07/2013,1215,96115.749571
07/07/2013,1230,94446.08271
07/07/2013,1245,92855.35051
07/07/2013,1260,91181.849574
07/07/2013,1275,89625.145699
07/07/2013,1290,88848.349279
07/07/2013,1305,87053.308314
07/07/2013,1320,84508.527161
08/07/2013,-105,81797.906365
08/07/2013,-90,82433.073141
08/07/2013,-75,81795.505248
08/07/2013,-60,81163.02239
08/07/2013,-45,80772.015913
08/07/2013,-30,80465.392296
08/07/2013,-15,80013.033596
08/07/2013,0,79182.538592
08/07/2013,15,79940.417597
08/07/2013,30,79441.281136
08/07/2013,45,79513.365247
08/07/2013,60,79758.295257
08/07/2013,75,81392.783598
08/07/2013,90,82283.290408
08/07/2013,105,84314.362448
08/07/2013,120,84534.297425
08/07/2013,135,86582.24249
08/07/2013,150,89190.036119
08/07/2013,165,91762.065021
08/07/2013,180,92288.911444
08/07/2013,195,94586.609658
08/07/2013,210,96620.058751
08/07/2013,225,100833.30215
08/07/2013,240,104689.48263
