,electrometer,postcode,location,rows,f
121,1714,,,69985,data/ceskedata/CZ_data_1/1714.csv
122,1715,,,69985,data/ceskedata/CZ_data_1/1715.csv
123,1716,,,69985,data/ceskedata/CZ_data_1/1716.csv
124,1717,,,69985,data/ceskedata/CZ_data_1/1717.csv
125,1718,,,69985,data/ceskedata/CZ_data_1/1718.csv
126,1719,,,69985,data/ceskedata/CZ_data_1/1719.csv
127,172,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/172.csv
128,1720,,,69985,data/ceskedata/CZ_data_1/1720.csv
129,1721,,,69985,data/ceskedata/CZ_data_1/1721.csv
130,1722,,,69985,data/ceskedata/CZ_data_1/1722.csv
131,1723,,,69985,data/ceskedata/CZ_data_1/1723.csv
132,1724,,,69985,data/ceskedata/CZ_data_1/1724.csv
133,1725,,,69985,data/ceskedata/CZ_data_1/1725.csv
134,1726,,,69985,data/ceskedata/CZ_data_1/1726.csv
135,1727,,,69985,data/ceskedata/CZ_data_1/1727.csv
136,1729,,,69985,data/ceskedata/CZ_data_1/1729.csv
137,173,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/173.csv
138,1730,,,69985,data/ceskedata/CZ_data_1/1730.csv
139,1731,,,69985,data/ceskedata/CZ_data_1/1731.csv
140,1732,,,69985,data/ceskedata/CZ_data_1/1732.csv
141,1733,,,69985,data/ceskedata/CZ_data_1/1733.csv
142,1734,,,69985,data/ceskedata/CZ_data_1/1734.csv
143,1735,,,69985,data/ceskedata/CZ_data_1/1735.csv
144,1736,,,69985,data/ceskedata/CZ_data_1/1736.csv
145,1737,,,69985,data/ceskedata/CZ_data_1/1737.csv
146,1738,,,69985,data/ceskedata/CZ_data_1/1738.csv
147,174,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/174.csv
148,1740,,,69985,data/ceskedata/CZ_data_1/1740.csv
149,1742,,,69985,data/ceskedata/CZ_data_1/1742.csv
150,1743,,,69985,data/ceskedata/CZ_data_1/1743.csv
151,1744,,,69985,data/ceskedata/CZ_data_1/1744.csv
152,1745,,,69985,data/ceskedata/CZ_data_1/1745.csv
153,1746,,,69985,data/ceskedata/CZ_data_1/1746.csv
154,1747,,,69985,data/ceskedata/CZ_data_1/1747.csv
155,1748,,,69985,data/ceskedata/CZ_data_1/1748.csv
156,1749,,,69985,data/ceskedata/CZ_data_1/1749.csv
157,175,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/175.csv
158,1751,,,69985,data/ceskedata/CZ_data_1/1751.csv
159,1753,,,69985,data/ceskedata/CZ_data_1/1753.csv
160,1754,,,69985,data/ceskedata/CZ_data_1/1754.csv
161,1755,639 00,Brno - Spielberk,69985,data/ceskedata/CZ_data_1/1755.csv
162,1756,,,69985,data/ceskedata/CZ_data_1/1756.csv
163,1759,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/1759.csv
164,176,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/176.csv
165,1760,,,69985,data/ceskedata/CZ_data_1/1760.csv
166,1768,,,69985,data/ceskedata/CZ_data_1/1768.csv
167,1770,352 02,Bor u Tachova, Nová Hospoda,69985,data/ceskedata/CZ_data_1/1770.csv
168,1771,356 02,Bor u Tachova, Nová Hospoda,69985,data/ceskedata/CZ_data_1/1771.csv
169,1783,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/1783.csv
170,18,664 51,lapanice,69985,data/ceskedata/CZ_data_1/18.csv
171,19,664 51,lapanice,69985,data/ceskedata/CZ_data_1/19.csv
172,2,586 02,Jihlava - Antonínùv dùl,69985,data/ceskedata/CZ_data_1/2.csv
173,20,,,69985,data/ceskedata/CZ_data_1/20.csv
174,2015,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/2015.csv
175,2022,,,69985,data/ceskedata/CZ_data_1/2022.csv
176,2023,,,69985,data/ceskedata/CZ_data_1/2023.csv
177,2024,,,69985,data/ceskedata/CZ_data_1/2024.csv
178,2025,,,69985,data/ceskedata/CZ_data_1/2025.csv
179,2026,,,69985,data/ceskedata/CZ_data_1/2026.csv
180,2027,,,69985,data/ceskedata/CZ_data_1/2027.csv
181,2028,,,69985,data/ceskedata/CZ_data_1/2028.csv
182,2029,,,69985,data/ceskedata/CZ_data_1/2029.csv
183,2030,,,69985,data/ceskedata/CZ_data_1/2030.csv
184,2031,639 00,Brno - Spielberk,69985,data/ceskedata/CZ_data_1/2031.csv
185,2032,639 00,Brno - Spielberk,69985,data/ceskedata/CZ_data_1/2032.csv
186,2039,,,69985,data/ceskedata/CZ_data_1/2039.csv
187,204,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/204.csv
188,2040,,,69985,data/ceskedata/CZ_data_1/2040.csv
189,2043,720 00,Ostrava - Hrabová, fáze II.,69985,data/ceskedata/CZ_data_1/2043.csv
190,2049,,,69985,data/ceskedata/CZ_data_1/2049.csv
191,205,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/205.csv
192,2050,,,69985,data/ceskedata/CZ_data_1/2050.csv
193,2051,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/2051.csv
194,2052,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/2052.csv
195,2053,,,69985,data/ceskedata/CZ_data_1/2053.csv
196,2054,,,69985,data/ceskedata/CZ_data_1/2054.csv
197,2056,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/2056.csv
198,2058,293 01,Mladá Boleslav,69985,data/ceskedata/CZ_data_1/2058.csv
199,2059,,,69985,data/ceskedata/CZ_data_1/2059.csv
200,206,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/206.csv
201,2060,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/2060.csv
202,2061,301 00 ,Plzeò ,69985,data/ceskedata/CZ_data_1/2061.csv
203,2064,,,69985,data/ceskedata/CZ_data_1/2064.csv
204,2066,,,69985,data/ceskedata/CZ_data_1/2066.csv
205,2067,,,69985,data/ceskedata/CZ_data_1/2067.csv
