,electrometer,postcode,location,rows,f
292,886,,,67510,data/cz/15024002_20150414_20170317.csv
293,1036,,,30898,data/cz/15033001_20160429_20170317.csv
294,908,,,72532,data/cz/15033011_20150221_20170317.csv
295,885,,,38302,data/cz/15033015_20150414_20160517.csv
296,915,,,72526,data/cz/15044020_20150221_20170317.csv
297,951,,,112667,data/cz/15066001_20131230_20170317.csv
298,894,,,32545,data/cz/15091075_20150429_20160402.csv
299,971,,,72502,data/cz/15091082_20150221_20170317.csv
300,991,,,72540,data/cz/15091114_20150221_20170317.csv
301,1006,,,72569,data/cz/15104021_20150220_20170317.csv
302,873,639 00,Brno - Škrobárny,36001,data/cz/1514462140_20150324_20160402.csv
303,872,639 00,Brno - Škrobárny,36001,data/cz/1514462164_20150324_20160402.csv
304,944,,,38946,data/cz/1514462212_20150221_20160402.csv
305,875,639 00,Brno - Škrobárny,33025,data/cz/1514462218_20150324_20160302.csv
306,874,639 00,Brno - Škrobárny,36001,data/cz/1514462246_20150324_20160402.csv
307,930,,,72513,data/cz/15171033_20150221_20170317.csv
308,931,,,72513,data/cz/15171044_20150221_20170317.csv
309,916,,,72526,data/cz/15171046_20150221_20170317.csv
310,911,,,72527,data/cz/15171048_20150221_20170317.csv
311,917,,,72526,data/cz/15171051_20150221_20170317.csv
312,918,,,72525,data/cz/15171053_20150221_20170317.csv
313,909,,,72532,data/cz/15171054_20150221_20170317.csv
314,952,,,112667,data/cz/15171062_20131230_20170317.csv
315,953,,,72507,data/cz/15171064_20150221_20170317.csv
316,932,,,72513,data/cz/15171065_20150221_20170317.csv
317,912,,,68857,data/cz/15172001_20150221_20170207.csv
318,913,,,72527,data/cz/15172003_20150221_20170317.csv
319,933,,,72513,data/cz/15172005_20150221_20170317.csv
320,934,,,72512,data/cz/15172009_20150221_20170317.csv
321,954,,,72506,data/cz/15172010_20150221_20170317.csv
322,955,,,72506,data/cz/15172013_20150221_20170317.csv
323,956,,,72506,data/cz/15172014_20150221_20170317.csv
324,910,,,72532,data/cz/15172015_20150221_20170317.csv
